response_scenario,case,language,profile,request_index,stage,o200k_input_content,estimated_overhead,o200k_input,o200k_output,cl100k_input,cl100k_output
authored_short,1,en,long,12,patient,874,59,933,15,1052,15
authored_short,1,en,long,13,patient,888,59,947,4,1066,4
authored_short,1,en,long,14,patient,888,59,947,4,1066,4
authored_short,1,en,long,15,patient,883,59,942,14,1059,15
authored_short,1,en,long,16,patient,893,59,952,14,1068,15
authored_short,1,en,long,17,patient,901,59,960,15,1075,15
authored_short,1,en,long,18,patient,909,59,968,4,1083,4
authored_short,1,en,long,19,patient,898,59,957,15,1072,15
authored_short,1,en,long,20,patient,907,59,966,14,1081,15
authored_short,1,en,long,21,patient,917,59,976,9,1092,10
authored_short,1,en,long,22,patient,913,59,972,9,1088,10
authored_short,1,en,long,23,patient,908,59,967,14,1083,15
authored_short,1,en,long,24,patient,909,59,968,5,1085,7
authored_short,1,en,long,25,patient,912,59,971,14,1090,15
authored_short,1,en,long,26,patient,912,59,971,7,1091,7
authored_short,1,en,long,27,patient,904,59,963,15,1082,15
authored_short,1,en,long,28,patient,910,59,969,15,1087,15
authored_short,1,en,long,29,patient,914,59,973,4,1090,4
authored_short,1,en,long,30,patient,904,59,963,14,1079,15
authored_short,1,en,long,31,patient,913,59,972,5,1087,7
authored_short,1,en,long,32,patient,904,59,963,5,1079,7
authored_short,1,en,long,33,patient,904,59,963,14,1081,15
authored_short,1,en,long,34,patient,906,59,965,7,1084,7
authored_short,1,en,long,35,patient,902,59,961,14,1080,15
authored_short,1,en,long,36,patient,914,59,973,9,1093,10
authored_short,1,en,long,37,patient,911,59,970,7,1090,9
authored_short,1,en,long,38,patient,913,59,972,5,1092,7
authored_short,1,en,long,39,patient,914,59,973,14,1093,15
authored_short,1,en,long,40,patient,912,59,971,4,1091,4
authored_short,1,en,long,41,exam,433,59,492,33,500,34
authored_short,1,en,long,42,exam,468,59,527,26,535,27
authored_short,1,en,long,43,exam,462,59,521,13,529,14
authored_short,1,en,long,44,exam,484,59,543,25,550,26
authored_short,1,en,long,45,exam,858,43,901,14,1015,15
authored_short,1,en,long,46,unrecorded_lab,60,11,71,13,71,13
authored_short,1,en,long,47,unrecorded_lab,59,11,70,13,71,13
authored_short,1,en,long,48,unrecorded_lab,60,11,71,13,71,13
authored_short,1,en,long,49,unrecorded_lab,60,11,71,13,71,13
authored_short,1,en,long,50,scoring,2776,11,2787,248,2988,247
authored_short,1,en,long,51,lesson,2253,11,2264,961,2293,970
authored_short,2,fa,short,1,patient,1121,11,1132,12,2199,25
authored_short,2,fa,short,2,patient,1139,19,1158,9,2250,17
authored_short,2,fa,short,3,patient,1153,27,1180,10,2286,21
authored_short,2,fa,short,4,patient,1169,35,1204,10,2324,21
authored_short,2,fa,short,5,patient,1187,43,1230,6,2370,16
authored_short,2,fa,short,6,patient,1200,51,1251,18,2412,39
authored_short,2,fa,short,7,patient,1222,59,1281,9,2468,16
authored_short,2,fa,short,8,patient,1208,59,1267,2,2430,4
authored_short,2,fa,short,9,patient,1202,59,1261,5,2416,11
authored_short,2,fa,short,10,patient,1199,59,1258,5,2410,11
authored_short,2,fa,short,11,exam,572,59,631,38,1230,46
authored_short,2,fa,short,12,exam,636,59,695,45,1313,90
authored_short,2,fa,short,13,scoring,1838,11,1849,258,2533,464
authored_short,2,fa,short,14,lesson,1694,11,1705,1217,2782,2381
authored_short,2,fa,standard,1,patient,1121,11,1132,12,2199,25
authored_short,2,fa,standard,2,patient,1139,19,1158,9,2250,17
authored_short,2,fa,standard,3,patient,1153,27,1180,10,2286,21
authored_short,2,fa,standard,4,patient,1169,35,1204,10,2324,21
authored_short,2,fa,standard,5,patient,1187,43,1230,6,2370,16
authored_short,2,fa,standard,6,patient,1200,51,1251,18,2412,39
authored_short,2,fa,standard,7,patient,1222,59,1281,9,2468,16
authored_short,2,fa,standard,8,patient,1208,59,1267,2,2430,4
authored_short,2,fa,standard,9,patient,1202,59,1261,5,2416,11
authored_short,2,fa,standard,10,patient,1199,59,1258,5,2410,11
authored_short,2,fa,standard,11,patient,1196,59,1255,8,2416,19
authored_short,2,fa,standard,12,patient,1197,59,1256,18,2414,39
authored_short,2,fa,standard,13,patient,1196,59,1255,9,2408,16
authored_short,2,fa,standard,14,patient,1197,59,1256,9,2411,16
authored_short,2,fa,standard,15,patient,1206,59,1265,20,2424,39
authored_short,2,fa,standard,16,patient,1221,59,1280,20,2449,39
authored_short,2,fa,standard,17,patient,1237,59,1296,18,2481,39
authored_short,2,fa,standard,18,patient,1246,59,1305,9,2492,16
authored_short,2,fa,standard,19,patient,1235,59,1294,18,2472,39
authored_short,2,fa,standard,20,patient,1250,59,1309,20,2512,39
authored_short,2,fa,standard,21,exam,640,59,699,38,1362,46
authored_short,2,fa,standard,22,exam,688,59,747,45,1420,90
authored_short,2,fa,standard,23,exam,677,59,736,34,1403,69
authored_short,2,fa,standard,24,unrecorded_lab,92,11,103,24,219,55
authored_short,2,fa,standard,25,unrecorded_lab,91,11,102,24,219,55
authored_short,2,fa,standard,26,scoring,2209,11,2220,258,3199,464
authored_short,2,fa,standard,27,lesson,2041,11,2052,1217,3436,2381
authored_short,2,fa,long,1,patient,1121,11,1132,12,2199,25
authored_short,2,fa,long,2,patient,1139,19,1158,9,2250,17
authored_short,2,fa,long,3,patient,1153,27,1180,10,2286,21
authored_short,2,fa,long,4,patient,1169,35,1204,10,2324,21
authored_short,2,fa,long,5,patient,1187,43,1230,6,2370,16
authored_short,2,fa,long,6,patient,1200,51,1251,18,2412,39
authored_short,2,fa,long,7,patient,1222,59,1281,9,2468,16
authored_short,2,fa,long,8,patient,1208,59,1267,2,2430,4
authored_short,2,fa,long,9,patient,1202,59,1261,5,2416,11
authored_short,2,fa,long,10,patient,1199,59,1258,5,2410,11
authored_short,2,fa,long,11,patient,1196,59,1255,8,2416,19
authored_short,2,fa,long,12,patient,1197,59,1256,18,2414,39
authored_short,2,fa,long,13,patient,1196,59,1255,9,2408,16
authored_short,2,fa,long,14,patient,1197,59,1256,9,2411,16
authored_short,2,fa,long,15,patient,1206,59,1265,20,2424,39
authored_short,2,fa,long,16,patient,1221,59,1280,20,2449,39
authored_short,2,fa,long,17,patient,1237,59,1296,18,2481,39
authored_short,2,fa,long,18,patient,1246,59,1305,9,2492,16
authored_short,2,fa,long,19,patient,1235,59,1294,18,2472,39
authored_short,2,fa,long,20,patient,1250,59,1309,20,2512,39
authored_short,2,fa,long,21,patient,1263,59,1322,20,2538,39
authored_short,2,fa,long,22,patient,1262,59,1321,20,2540,39
authored_short,2,fa,long,23,patient,1263,59,1322,18,2543,39
authored_short,2,fa,long,24,patient,1265,59,1324,5,2550,11
authored_short,2,fa,long,25,patient,1263,59,1322,20,2550,39
authored_short,2,fa,long,26,patient,1269,59,1328,8,2558,19
authored_short,2,fa,long,27,patient,1250,59,1309,18,2522,39
authored_short,2,fa,long,28,patient,1248,59,1307,18,2522,39
authored_short,2,fa,long,29,patient,1243,59,1302,20,2516,39
authored_short,2,fa,long,30,patient,1244,59,1303,20,2513,39
authored_short,2,fa,long,31,patient,1259,59,1318,9,2538,16
authored_short,2,fa,long,32,patient,1250,59,1309,5,2517,11
authored_short,2,fa,long,33,patient,1249,59,1308,20,2506,39
authored_short,2,fa,long,34,patient,1255,59,1314,6,2510,16
authored_short,2,fa,long,35,patient,1244,59,1303,20,2492,39
authored_short,2,fa,long,36,patient,1250,59,1309,20,2504,39
authored_short,2,fa,long,37,patient,1257,59,1316,2,2519,4
authored_short,2,fa,long,38,patient,1256,59,1315,5,2513,11
authored_short,2,fa,long,39,patient,1258,59,1317,20,2517,39
authored_short,2,fa,long,40,patient,1256,59,1315,7,2513,11
authored_short,2,fa,long,41,exam,632,59,691,38,1330,46
authored_short,2,fa,long,42,exam,682,59,741,45,1387,90
authored_short,2,fa,long,43,exam,666,59,725,34,1357,69
authored_short,2,fa,long,44,exam,718,59,777,37,1459,80
authored_short,2,fa,long,45,exam,1184,43,1227,20,2342,39
authored_short,2,fa,long,46,unrecorded_lab,92,11,103,24,219,55
authored_short,2,fa,long,47,unrecorded_lab,91,11,102,24,219,55
authored_short,2,fa,long,48,unrecorded_lab,92,11,103,24,219,55
authored_short,2,fa,long,49,unrecorded_lab,92,11,103,24,219,55
authored_short,2,fa,long,50,scoring,2958,11,2969,258,4542,464
authored_short,2,fa,long,51,lesson,2732,11,2743,1217,4752,2381
authored_short,2,en,short,1,patient,721,11,732,14,824,15
authored_short,2,en,short,2,patient,741,19,760,4,853,4
authored_short,2,en,short,3,patient,750,27,777,6,870,7
authored_short,2,en,short,4,patient,761,35,796,6,890,7
authored_short,2,en,short,5,patient,774,43,817,5,912,5
authored_short,2,en,short,6,patient,786,51,837,15,932,15
authored_short,2,en,short,7,patient,806,59,865,4,960,4
authored_short,2,en,short,8,patient,790,59,849,1,943,1
authored_short,2,en,short,9,patient,786,59,845,4,939,3
authored_short,2,en,short,10,patient,785,59,844,4,936,3
authored_short,2,en,short,11,exam,400,59,459,33,460,34
authored_short,2,en,short,12,exam,446,59,505,27,507,28
authored_short,2,en,short,13,scoring,1668,11,1679,204,1830,203
authored_short,2,en,short,14,lesson,1310,11,1321,767,1326,777
authored_short,2,en,standard,1,patient,721,11,732,14,824,15
authored_short,2,en,standard,2,patient,741,19,760,4,853,4
authored_short,2,en,standard,3,patient,750,27,777,6,870,7
authored_short,2,en,standard,4,patient,761,35,796,6,890,7
authored_short,2,en,standard,5,patient,774,43,817,5,912,5
authored_short,2,en,standard,6,patient,786,51,837,15,932,15
authored_short,2,en,standard,7,patient,806,59,865,4,960,4
authored_short,2,en,standard,8,patient,790,59,849,1,943,1
authored_short,2,en,standard,9,patient,786,59,845,4,939,3
authored_short,2,en,standard,10,patient,785,59,844,4,936,3
authored_short,2,en,standard,11,patient,783,59,842,4,932,4
authored_short,2,en,standard,12,patient,779,59,838,15,928,15
authored_short,2,en,standard,13,patient,780,59,839,4,929,4
authored_short,2,en,standard,14,patient,780,59,839,4,929,4
authored_short,2,en,standard,15,patient,781,59,840,14,930,15
authored_short,2,en,standard,16,patient,792,59,851,14,943,15
authored_short,2,en,standard,17,patient,801,59,860,15,954,15
authored_short,2,en,standard,18,patient,812,59,871,4,965,4
authored_short,2,en,standard,19,patient,801,59,860,15,954,15
authored_short,2,en,standard,20,patient,810,59,869,14,963,15
authored_short,2,en,standard,21,exam,437,59,496,33,502,34
authored_short,2,en,standard,22,exam,475,59,534,27,540,28
authored_short,2,en,standard,23,exam,466,59,525,18,531,20
authored_short,2,en,standard,24,unrecorded_lab,60,11,71,13,71,13
authored_short,2,en,standard,25,unrecorded_lab,59,11,70,13,71,13
authored_short,2,en,standard,26,scoring,1948,11,1959,204,2114,203
authored_short,2,en,standard,27,lesson,1579,11,1590,767,1598,777
authored_short,2,en,long,1,patient,721,11,732,14,824,15
authored_short,2,en,long,2,patient,741,19,760,4,853,4
authored_short,2,en,long,3,patient,750,27,777,6,870,7
authored_short,2,en,long,4,patient,761,35,796,6,890,7
authored_short,2,en,long,5,patient,774,43,817,5,912,5
authored_short,2,en,long,6,patient,786,51,837,15,932,15
authored_short,2,en,long,7,patient,806,59,865,4,960,4
authored_short,2,en,long,8,patient,790,59,849,1,943,1
authored_short,2,en,long,9,patient,786,59,845,4,939,3
authored_short,2,en,long,10,patient,785,59,844,4,936,3
authored_short,2,en,long,11,patient,783,59,842,4,932,4
authored_short,2,en,long,12,patient,779,59,838,15,928,15
authored_short,2,en,long,13,patient,780,59,839,4,929,4
authored_short,2,en,long,14,patient,780,59,839,4,929,4
authored_short,2,en,long,15,patient,781,59,840,14,930,15
authored_short,2,en,long,16,patient,792,59,851,14,943,15
authored_short,2,en,long,17,patient,801,59,860,15,954,15
authored_short,2,en,long,18,patient,812,59,871,4,965,4
authored_short,2,en,long,19,patient,801,59,860,15,954,15
authored_short,2,en,long,20,patient,810,59,869,14,963,15
authored_short,2,en,long,21,patient,820,59,879,6,974,7
authored_short,2,en,long,22,patient,813,59,872,6,967,7
authored_short,2,en,long,23,patient,805,59,864,14,959,15
authored_short,2,en,long,24,patient,806,59,865,4,961,3
authored_short,2,en,long,25,patient,808,59,867,14,962,15
authored_short,2,en,long,26,patient,808,59,867,4,963,4
authored_short,2,en,long,27,patient,797,59,856,15,951,15
authored_short,2,en,long,28,patient,806,59,865,15,959,15
authored_short,2,en,long,29,patient,813,59,872,4,965,4
authored_short,2,en,long,30,patient,803,59,862,14,954,15
authored_short,2,en,long,31,patient,813,59,872,4,966,3
authored_short,2,en,long,32,patient,803,59,862,4,954,3
authored_short,2,en,long,33,patient,805,59,864,14,955,15
authored_short,2,en,long,34,patient,807,59,866,5,958,5
authored_short,2,en,long,35,patient,801,59,860,14,952,15
authored_short,2,en,long,36,patient,813,59,872,6,965,7
authored_short,2,en,long,37,patient,807,59,866,1,959,1
authored_short,2,en,long,38,patient,804,59,863,4,957,3
authored_short,2,en,long,39,patient,805,59,864,14,958,15
authored_short,2,en,long,40,patient,803,59,862,4,956,4
authored_short,2,en,long,41,exam,416,59,475,33,480,34
authored_short,2,en,long,42,exam,451,59,510,27,515,28
authored_short,2,en,long,43,exam,449,59,508,18,513,20
authored_short,2,en,long,44,exam,482,59,541,25,548,26
authored_short,2,en,long,45,exam,761,43,804,14,897,15
authored_short,2,en,long,46,unrecorded_lab,60,11,71,13,71,13
authored_short,2,en,long,47,unrecorded_lab,59,11,70,13,71,13
authored_short,2,en,long,48,unrecorded_lab,60,11,71,13,71,13
authored_short,2,en,long,49,unrecorded_lab,60,11,71,13,71,13
authored_short,2,en,long,50,scoring,2488,11,2499,204,2657,203
authored_short,2,en,long,51,lesson,2093,11,2104,767,2117,777
authored_short,3,fa,short,1,patient,1037,11,1048,12,2085,25
authored_short,3,fa,short,2,patient,1055,19,1074,7,2136,13
authored_short,3,fa,short,3,patient,1067,27,1094,11,2168,25
authored_short,3,fa,short,4,patient,1084,35,1119,9,2210,17
authored_short,3,fa,short,5,patient,1101,43,1144,18,2252,39
authored_short,3,fa,short,6,patient,1126,51,1177,18,2317,39
authored_short,3,fa,short,7,patient,1148,59,1207,11,2373,20
authored_short,3,fa,short,8,patient,1136,59,1195,2,2339,4
authored_short,3,fa,short,9,patient,1132,59,1191,2,2329,4
authored_short,3,fa,short,10,patient,1125,59,1184,2,2312,4
authored_short,3,fa,short,11,exam,579,59,638,38,1235,46
authored_short,3,fa,short,12,exam,631,59,690,45,1295,89
authored_short,3,fa,short,13,scoring,1824,11,1835,314,2494,566
authored_short,3,fa,short,14,lesson,1756,11,1767,1472,2892,2846
authored_short,3,fa,standard,1,patient,1037,11,1048,12,2085,25
authored_short,3,fa,standard,2,patient,1055,19,1074,7,2136,13
authored_short,3,fa,standard,3,patient,1067,27,1094,11,2168,25
authored_short,3,fa,standard,4,patient,1084,35,1119,9,2210,17
authored_short,3,fa,standard,5,patient,1101,43,1144,18,2252,39
authored_short,3,fa,standard,6,patient,1126,51,1177,18,2317,39
authored_short,3,fa,standard,7,patient,1148,59,1207,11,2373,20
authored_short,3,fa,standard,8,patient,1136,59,1195,2,2339,4
authored_short,3,fa,standard,9,patient,1132,59,1191,2,2329,4
authored_short,3,fa,standard,10,patient,1125,59,1184,2,2312,4
authored_short,3,fa,standard,11,patient,1120,59,1179,18,2315,39
authored_short,3,fa,standard,12,patient,1119,59,1178,18,2310,39
authored_short,3,fa,standard,13,patient,1118,59,1177,11,2304,20
authored_short,3,fa,standard,14,patient,1119,59,1178,11,2307,20
authored_short,3,fa,standard,15,patient,1130,59,1189,20,2324,39
authored_short,3,fa,standard,16,patient,1148,59,1207,20,2356,39
authored_short,3,fa,standard,17,patient,1167,59,1226,18,2395,39
authored_short,3,fa,standard,18,patient,1166,59,1225,11,2386,20
authored_short,3,fa,standard,19,patient,1157,59,1216,18,2370,39
authored_short,3,fa,standard,20,patient,1170,59,1229,20,2406,39
authored_short,3,fa,standard,21,exam,641,59,700,38,1358,46
authored_short,3,fa,standard,22,exam,689,59,748,45,1416,89
authored_short,3,fa,standard,23,exam,678,59,737,26,1398,53
authored_short,3,fa,standard,24,unrecorded_lab,92,11,103,24,219,55
authored_short,3,fa,standard,25,unrecorded_lab,91,11,102,24,219,55
authored_short,3,fa,standard,26,scoring,2207,11,2218,314,3176,566
authored_short,3,fa,standard,27,lesson,2114,11,2125,1472,3561,2846
authored_short,3,fa,long,1,patient,1037,11,1048,12,2085,25
authored_short,3,fa,long,2,patient,1055,19,1074,7,2136,13
authored_short,3,fa,long,3,patient,1067,27,1094,11,2168,25
authored_short,3,fa,long,4,patient,1084,35,1119,9,2210,17
authored_short,3,fa,long,5,patient,1101,43,1144,18,2252,39
authored_short,3,fa,long,6,patient,1126,51,1177,18,2317,39
authored_short,3,fa,long,7,patient,1148,59,1207,11,2373,20
authored_short,3,fa,long,8,patient,1136,59,1195,2,2339,4
authored_short,3,fa,long,9,patient,1132,59,1191,2,2329,4
authored_short,3,fa,long,10,patient,1125,59,1184,2,2312,4
authored_short,3,fa,long,11,patient,1120,59,1179,18,2315,39
authored_short,3,fa,long,12,patient,1119,59,1178,18,2310,39
authored_short,3,fa,long,13,patient,1118,59,1177,11,2304,20
authored_short,3,fa,long,14,patient,1119,59,1178,11,2307,20
authored_short,3,fa,long,15,patient,1130,59,1189,20,2324,39
authored_short,3,fa,long,16,patient,1148,59,1207,20,2356,39
authored_short,3,fa,long,17,patient,1167,59,1226,18,2395,39
authored_short,3,fa,long,18,patient,1166,59,1225,11,2386,20
authored_short,3,fa,long,19,patient,1157,59,1216,18,2370,39
authored_short,3,fa,long,20,patient,1170,59,1229,20,2406,39
authored_short,3,fa,long,21,patient,1181,59,1240,20,2428,39
authored_short,3,fa,long,22,patient,1180,59,1239,20,2430,39
authored_short,3,fa,long,23,patient,1181,59,1240,18,2433,39
authored_short,3,fa,long,24,patient,1183,59,1242,2,2440,4
authored_short,3,fa,long,25,patient,1176,59,1235,20,2429,39
authored_short,3,fa,long,26,patient,1182,59,1241,18,2437,39
authored_short,3,fa,long,27,patient,1173,59,1232,18,2421,39
authored_short,3,fa,long,28,patient,1171,59,1230,18,2421,39
authored_short,3,fa,long,29,patient,1166,59,1225,20,2415,39
authored_short,3,fa,long,30,patient,1167,59,1226,20,2412,39
authored_short,3,fa,long,31,patient,1185,59,1244,11,2444,20
authored_short,3,fa,long,32,patient,1178,59,1237,2,2427,4
authored_short,3,fa,long,33,patient,1164,59,1223,20,2389,39
authored_short,3,fa,long,34,patient,1170,59,1229,18,2393,39
authored_short,3,fa,long,35,patient,1171,59,1230,20,2398,39
authored_short,3,fa,long,36,patient,1177,59,1236,20,2410,39
